cpcv2,description,common_name,display_name,es_name,fr_name,pt_name,ar_name,aliases,hs2012,scientific_name,per_country_aliases
S6,"Distributive trade services; accommodation, food and beverage serving services; transport services; and electricity, gas and water distribution services",,"Distributive trade services; accommodation, food and beverag...",,,,,[],,,[]
S61,Wholesale trade services,,Wholesale trade services,,,,,[],,,[]
S611,"Wholesale trade services, except on a fee or contract basis",,"Wholesale trade services, except on a fee or contract basis",,,,,[],,,[]
S6111,"Wholesale trade services, except on a fee or contract basis, of agricultural raw materials and live animals",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61111,"Wholesale trade services, except on a fee or contract basis, of grains and oilseeds and oleaginous fruits, seeds and animal feed",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61112,"Wholesale trade services, except on a fee or contract basis, of flowers and plants",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61113,"Wholesale trade services, except on a fee or contract basis, of unmanufactured tobacco",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61114,"Wholesale trade services, except on a fee or contract basis, of live animals, including pet animals",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61115,"Wholesale trade services, except on a fee or contract basis, of hides, skins and leather",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61119,"Wholesale trade services, except on a fee or contract basis, of agricultural raw materials n.e.c.",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S6112,"Wholesale trade services, except on a fee or contract basis, of food, beverages and tobacco",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61121,"Wholesale trade services, except on a fee or contract basis, of fruit and vegetables",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61122,"Wholesale trade services, except on a fee or contract basis, of dairy products, eggs and edible oils and fats",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61123,"Wholesale trade services, except on a fee or contract basis, of meat, poultry and game",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61124,"Wholesale trade services, except on a fee or contract basis, of fish and other seafood",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61125,"Wholesale trade services, except on a fee or contract basis, of sugar confectionery and bakery products",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
S61126,"Wholesale trade services, except on a fee or contract basis, of beverages",,"Wholesale trade services, except on a fee or contract basis,...",,,,,[],,,[]
