cpcv2,description,common_name,display_name,es_name,fr_name,pt_name,ar_name,aliases,hs2012,scientific_name,per_country_aliases
P21434,Grape juice,,Grape juice,,,,,[],"['2009.61', '2009.69']",,[]
P21435,Apple juice,,Apple juice,,,,,[],"['2009.71', '2009.79']",,[]
P21439,"Other fruit juices, n.e.c.",,"Other fruit juices, n.e.c.",,,,,[],"['2009.31', '2009.39', '2009.81', '2009.89', '2009.90']",,[]
P2149,Other prepared and preserved fruit and nuts (except by sugar),,Other prepared and preserved fruit and nuts (except by sugar...,,,,,[],,,[]
P21491,"Pineapples, otherwise prepared or preserved",Pineapples (Otherwise Prepared or Preserved),Pineapples (Otherwise Prepared or Preserved),,,,,[],['2008.20'],,[]
P21492,"Peaches, otherwise prepared or preserved",Peaches (Otherwise Prepared or Preserved),Peaches (Otherwise Prepared or Preserved),,,,,[],['2008.70'],,[]
P21493,"Fruits and nuts, uncooked or cooked, frozen",,"Fruits and nuts, uncooked or cooked, frozen","Frutas y frutos secos, crudos o cocidos, congelados","Fruits et noix, crus ou cuits, congelés","Frutas e nozes, não cozidas ou cozinhadas, congeladas",,[],"['0811.10', '0811.20', '0811.90']",,[]
P21493AA,Fruits and nuts (Unspecified),,Fruits and nuts (Unspecified),,,,,[],,,[]
P21494,"Jams, fruit jellies, marmalades, fruit or nut purree and fruit or nut pastes",,"Jams, fruit jellies, marmalades, fruit or nut purree and fru...",,,,,[],"['2007.91', '2007.99']",,[]
P21495,"Nuts, groundnuts and other seeds, roasted, salted or otherwise prepared n.e.c.",,"Nuts, groundnuts and other seeds, roasted, salted or otherwi...",,,,,[],"['2008.11', '2008.19']",,[]
P21496,"Fruit and nuts, provisionally preserved, not for immediate consumption",,"Fruit and nuts, provisionally preserved, not for immediate c...",,,,,[],"['0812.10', '0812.90', '0814.00']",,[]
P21499,"Other prepared and preserved fruit and nuts, n.e.c.",,"Other prepared and preserved fruit and nuts, n.e.c.",,,,,[],"['1212.99', '2001.90', '2008.30', '2008.40', '2008.50', '2008.60', '2008.80', '2008.91', '2008.93', '2008.97', '2008.99']",,[]
P215,Animal and vegetable oils and fats,,Animal and vegetable oils and fats,,,,,[],,,[]
P2151,"Animal fats, unrendered",,"Animal fats, unrendered",,,,,[],,,[]
P21511,"Fats, of pig and poultry, unrendered",,"Fats, of pig and poultry, unrendered",,,,,[],"['0209.10', '0209.90']",,[]
P21512,"Cattle fat, unrendered",,"Cattle fat, unrendered",,,,,[],['1502.90'],,[]
P21513,"Buffalo fat, unrendered",,"Buffalo fat, unrendered",,,,,[],['1502.90'],,[]
P21514,"Sheep fat, unrendered",,"Sheep fat, unrendered",,,,,[],['1502.90'],,[]
P21515,"Goat fat, unrendered",,"Goat fat, unrendered",,,,,[],['1502.90'],,[]
P21519,"Other animal fats, unrendered, n.e.c.",,"Other animal fats, unrendered, n.e.c.",,,,,[],"['1505.00', '1506.00']",,[]
P2152,"Animal fats and oils, rendered",,"Animal fats and oils, rendered",,,,,[],,,[]
P21521,"Pig fat, rendered",,"Pig fat, rendered",,,,,[],"['1501.10', '1501.20']",,[]
P21522,"Poultry fat, rendered",,"Poultry fat, rendered",,,,,[],['1501.90'],,[]
P21523,Tallow,,Tallow,,,,,[],['1502.10'],,[]
P21524,Fish-liver oils and their fractions,,Fish-liver oils and their fractions,,,,,[],['1504.10'],,[]
P21525,"Fats and oils and their fractions, of fish, other than liver oils",,"Fats and oils and their fractions, of fish, other than liver...",,,,,[],['1504.20'],,[]
P21526,"Fats and oils and their fractions, of marine mammals",,"Fats and oils and their fractions, of marine mammals",,,,,[],['1504.30'],,[]
P21529,"Other animal fats, rendered",,"Other animal fats, rendered",,,,,[],"['1503.00', '1505.00', '1506.00']",,[]
P2153,"Vegetable oils, crude",Vegetable Oils (Crude),Vegetable Oils (Crude),,,,,[],,,[]
P21531,"Soya bean oil, crude","Soybean Oil, Crude","Soybean Oil, Crude","Aceite de soja, crudo","Huile de soja, brute","Óleo de Soja, Bruto",,[],,,[]
P21531AA,"Soybean Oil, Crude",,"Soybean Oil, Crude",,,,,['aceite soya'],,,[]
P21532,"Groundnut oil, crude",Groundnut Oil (Crude),Groundnut Oil (Crude),Aceite de cacahuete (crudo),Huile d'arachide (brute),Óleo de amendoim (Bruto),,[],,,[]
P21532AA,"Groundnut oil, crude",Groundnut Oil (Crude),Groundnut Oil (Crude),,,,,[],,,[]
P21533,"Sunflower-seed oil, crude",Sunflower-seed Oil (Crude),Sunflower-seed Oil (Crude),Aceite de girasol (crudo),Huile de tournesol (brute),Óleo de girassol (Bruto),,[],,,[]
P21533AA,"Sunflower-seed oil, crude, unspecified",,"Sunflower-seed oil, crude, unspecified",,,,,,['1512.11'],,[]
P21534,"Rapeseed oil, crude",Rapeseed Oil (Crude),Rapeseed Oil (Crude),,,,,[],,,[]
P21535,"Palm oil, crude",,"Palm oil, crude",Aceite de palma en bruto,"Huile de palme, brute","Óleo de palma, bruto",,[],,,[]
P21535AA,"Palm oil, crude",,"Palm oil, crude",,,,,['21535'],,,[]
P21536,"Coconut oil, crude",Coconut Oil (Crude)crude,Coconut Oil (Crude)crude,,,,,[],,,[]
P21537,"Olive oil, crude",,"Olive oil, crude",,,,,[],,,[]
P21538,"Cottonseed oil, crude",Cottonseed Oil (Crude),Cottonseed Oil (Crude),,,,,[],,,[]
P21539,"Other vegetable oils, crude, n.e.c.",,"Other vegetable oils, crude, n.e.c.","Otros aceites vegetales en bruto, n.c.o.p.","Autres huiles végétales, brutes, n.c.a.","Outros óleos vegetais, em bruto, n.e.c.",,[],,,[]
P21539AA,"Other vegetable oils, crude, n.e.c.",Vegetable Oil (Crude),Vegetable Oil (Crude),,,,,['cooking oil (locally processed)'],,,[]
P2154,"Vegetable oils, refined",Vegetable Oils (Refined),Vegetable Oils (Refined),,,,,[],,,[]
P21541,"Soya bean oil, refined","Soybean Oil, Refined","Soybean Oil, Refined","Aceite de soja, refinado","Huile de soja, raffinée","Óleo de Soja, Refinado",,[],,,[]
P21541AA,"Soya bean oil, refined",Soybean Oil,Soybean Oil,,,,,['21541'],,,[]
P21542,"Groundnut oil, refined",Groundnut Oil (Refined),Groundnut Oil (Refined),Aceite de cacahuete (refinado),Huile d'arachide (raffinée),Óleo de amendoim (Refinado),,[],,,[]
P21542AA,"Groundnut oil, refined",Groundnut Oil (Refined),Groundnut Oil (Refined),,,,,"['groundnut oil, refined', '21542']",,,[]
P21543,"Sunflower-seed oil, refined",Sunflower-seed Oil (Refined),Sunflower-seed Oil (Refined),Aceite de girasol (refinado),Huile de tournesol (raffinée),Óleo de sementes de girassol (Refinado),,[],,,[]
P21543AA,"Sunflower-seed oil, refined",Sunflower-seed Oil (Refined),Sunflower-seed Oil (Refined),,,,,"['huile de tournesol (raffinée)', 'sunflower oil', 'sunflower cooking oil 750ml']",,,[]
P21544,"Rapeseed oil, refined",Rapeseed Oil (Refined),Rapeseed Oil (Refined),,,,,[],,,[]
P21545,"Palm oil, refined",Palm Oil,Palm Oil,Aceite de palma,Huile de palme,Óleo de Palma,,[],,,[]
P21545AA,"Palm oil, refined",Palm Oil (Refined),Palm Oil (Refined),,,,,"['21545', 'refined palm oil', 'huile de palme (raffinée)', 'epo pupa', 'palm oil']",,,[]
P21546,"Coconut oil, refined",Coconut Oil (Refined),Coconut Oil (Refined),,,,,[],,,[]
P21547,"Olive oil, refined",Olive Oil (Refined),Olive Oil (Refined),,,,,[],,,[]
P21548,"Cottonseed oil, refined",Cottonseed Oil (Refined),Cottonseed Oil (Refined),Aceite de algodón (refinado),Huile de coton (raffinée),Óleo de semente de algodão (Refinado),,[],,,[]
P21548AA,"Cottonseed oil, refined",Cottonseed Oil (Refined),Cottonseed Oil (Refined),,,,,"['21548', 'refined cottonseed oil']",,,[]
P21549,"Other vegetable oils, refined, n.e.c.",Vegetable Oils (Refined),Vegetable Oils (Refined),Aceites Vegetales (Refinados),Huiles Végétales (Raffinées),Óleos Vegetais (Refinados),,['placeholder'],,,[]
P21549AB,Vegetable Ghee,,Vegetable Ghee,,,,,['21549a'],,,[]
P21549AC,Corn Oil,,Corn Oil,,,,,"['aceite de maiz', '21549b']",,,[]
P21549AD,"Refined vegetable oil, Alberto",Refined Vegetable Oil (Alberto),Refined Vegetable Oil (Alberto),,,,,"['21549c', 'huile alberto']",,,[]
P21549AE,"Refined vegetable oil, Rika",Refined Vegetable Oil (Rika),Refined Vegetable Oil (Rika),,,,,"['huile rika', '21549d']",,,[]
P21549AF,"Refined vegetable oil, Bongu",Refined Vegetable Oil (Bongu),Refined Vegetable Oil (Bongu),,,,,"['huile bongu', '21549e']",,,[]
P21549AG,"Refined vegetable oil, Ti malice",Refined Vegetable Oil (Ti malice),Refined Vegetable Oil (Ti malice),,,,,"['huile ti malice', '21549f']",,,[]
P21549AH,"Refined vegetable oil, Gourmet",Refined Vegetable Oil (Gourmet),Refined Vegetable Oil (Gourmet),,,,,"['huile gourmet', '21549g']",,,[]
P21549AI,"Refined vegetable oil, Sinistre",Refined Vegetable Oil (Sinistre),Refined Vegetable Oil (Sinistre),,,,,"['21549h', 'huile sinistre']",,,[]
P21549AA,"Other vegetable oils, refined, n.e.c.",Refined Vegetable Oil,Refined Vegetable Oil,,,,,"['vegetable oil', 'veg. oil', 'aceite vegetal ideal', 'huile de cuisson (raffinée)', 'cooking oil (kg)', 'huile mazola', 'aceite vegetal mezcla', 'v. oil', 'huile comestible (raffinée)', 'huile de table raffinée', 'huile de table raffinee', 'cooking oil (imported)', 'cooking oil', '21549', '21549 - refined vegetable oil', 'favorita', 'huile (alimentaire)', 'huile vegetale']",,,[]
P21549AJ,"Refined vegetable oil, palm kernel",Palm Kernel Oil (Refined),Palm Kernel Oil (Refined),,,,,"['01491a', '21549h', 'huile sinistre', '01491']",,,[]
P2155,Margarine and similar preparations,,Margarine and similar preparations,,,,,[],,,[]
P21550,Margarine and similar preparations,,Margarine and similar preparations,Margarina y preparaciones similares,Margarine et préparations similaires,Margarina e preparações similares,,[],,,[]
P21550AA,Margarine,,Margarine,,,,,"['21550a', 'margarina']",,,[]
P2159,"Other animal and vegetable oils and fats, refined, n.e.c.",,"Other animal and vegetable oils and fats, refined, n.e.c.",,,,,[],,,[]
P21590,"Other animal and vegetable oils and fats, refined, n.e.c.",,"Other animal and vegetable oils and fats, refined, n.e.c.","Otros aceites y grasas animales y vegetales, refinados, n.c.","Autres huiles et graisses animales et végétales, raffinées, ","Outros óleos e gorduras animais e vegetais, refinados, n.e.c",,[],['1516.10'],,[]
P21590AA,"Other animal and vegetable oils and fats, refined",Cooking fat,Cooking fat,,,,,[],,,[]
P216,Cotton linters,,Cotton linters,,,,,[],,,[]
P2160,Cotton linters,,Cotton linters,,,,,[],,,[]
P21600,Cotton linters,,Cotton linters,,,,,[],,,[]
P217,"Oil-cake and other residues resulting from the extraction of vegetable fats or oils; flours and meals of oil seeds or oleaginous fruits, except those of mustard; vegetable waxes, except triglycerides; degras; residues resulting from the treatment of fatty substances or animal or vegetable waxes",,Oil-cake and other residues resulting from the extraction of...,,,,,[],,,[]
P2171,"Oil-cake and other solid residues, of vegetable fats or oils",,"Oil-cake and other solid residues, of vegetable fats or oils...",,,,,[],,,[]
P21710,"Oil-cake and other solid residues, of vegetable fats or oils",,"Oil-cake and other solid residues, of vegetable fats or oils...",,,,,[],,,[]
P2172,"Flours and meals of oil seeds or oleaginous fruits, except those of mustard",,"Flours and meals of oil seeds or oleaginous fruits, except t...",,,,,[],,,[]
P21720,"Flours and meals of oil seeds or oleaginous fruits, except those of mustard",,"Flours and meals of oil seeds or oleaginous fruits, except t...","Harinas de semillas o de frutos oleaginosos, excepto las de.","Farines et semoules de graines ou de fruits oléagineux, à l'",Farinhas e farinhas de sementes oleaginosas ou frutos oleagi,,[],,,[]
P21720AA,Soybean Meal,,Soybean Meal,,,,,,,,[]
P2173,"Vegetable waxes (other than triglycerides), insect waxes and spermaceti; degras; residues resulting from the treatment of fatty substances or animal or vegetable waxes",,"Vegetable waxes (other than triglycerides), insect waxes and...",,,,,[],,,[]
P21731,Vegetable waxes (other than triglycerides),,Vegetable waxes (other than triglycerides),,,,,[],,,[]
P21732,Degras; residues resulting from the treatment of fatty substances or animal or vegetable waxes,,Degras; residues resulting from the treatment of fatty subst...,,,,,[],,,[]
P22,Dairy products and egg products,,Dairy products and egg products,,,,,[],,,[]
P221,Processed liquid milk and cream,,Processed liquid milk and cream,,,,,[],,,[]
P2211,Processed liquid milk,,Processed liquid milk,,,,,[],,,[]
P22110,Processed liquid milk,"Cow's Milk (Fresh, Pasteurized)","Cow's Milk (Fresh, Pasteurized)","Leche de Vaca (Fresca, Pasteurizada)","Lait de vache (frais, pasteurisé)","Leite de vaca (Fresco, Pasteurizado)",,[],"['0401.20', '0401.10']",,[]
P22110AA,Processed liquid milk,"Cow's Milk (Fresh, Pasteurized)","Cow's Milk (Fresh, Pasteurized)",,,,,"['milk (pasteurized)', 'leche pasteurizada', '22110', 'leche', ""cow's milk (fresh, pasteurized)"", 'milk (fresh)']",[],,[]
P22110AB,Processed liquid milk,Cow's milk (UHT),Cow's milk (UHT),,,,,[],,,[]
P2212,"Cream, fresh",Cream (Fresh),Cream (Fresh),,,,,[],,,[]
P22120,"Cream, fresh",Cream (Fresh),Cream (Fresh),Nata (fresca),Crème (fraîche),Creme (Fresco),,[],"['0401.40', '0401.50']",,[]
P22120AA,"Cream, fresh",Cream (Fresh),Cream (Fresh),,,,,['crema fresca'],,,[]
P2213,Whey,,Whey,,,,,[],,,[]
P22130,Whey,,Whey,,,,,[],['0404.10'],,[]
P222,Other dairy products,,Other dairy products,,,,,[],,,[]
P2221,Milk and cream in solid forms,,Milk and cream in solid forms,,,,,[],,,[]
P22211,Whole milk powder,,Whole milk powder,Leche entera en polvo,Lait entier en poudre,Leite em pó integral,,[],"['0402.29', '0402.21']",,[]
P22211AA,Whole milk powder,,Whole milk powder,,,,,"['milk (powder)', 'lait en poudre', '22211', 'powered milk', 'leche en polvo', 'powdered milk']",,,[]
P22212,Skim milk and whey powder,,Skim milk and whey powder,,,,,[],['0402.10'],,[]
P22219,"Other milk and cream in solid forms, n.e.c.",,"Other milk and cream in solid forms, n.e.c.",,,,,[],['0404.90'],,[]
P2222,"Milk and cream, concentrated or containing added sugar or other sweetening matter, other than in solid forms",,"Milk and cream, concentrated or containing added sugar or ot...",,,,,[],,,[]
P22221,Evaporated milk,,Evaporated milk,,,,,[],['0402.91'],,[]
P22222,Condensed milk,,Condensed milk,,,,,[],['0402.99'],,[]
P22229,"Milk and cream, n.e.c.",,"Milk and cream, n.e.c.","Leche y nata, n.c.o.p.","Lait et crème, n.c.a.","Leite e nata, n.e.c.",,[],"['0402.91', '0402.99']",,[]
P22229AA,"Milk, Bongu",Milk (Bongu),Milk (Bongu),,,,,"['lait bongu', '22229a']",,,[]
P22229AB,"Milk, Vita",Milk (Vita),Milk (Vita),,,,,"['lait vita', '22229b']",,,[]
P2223,Yoghurt and other fermented or acidified milk and cream,,Yoghurt and other fermented or acidified milk and cream,,,,,[],,,[]
P22230,Yoghurt and other fermented or acidified milk and cream,,Yoghurt and other fermented or acidified milk and cream,,,,,[],"['0403.10', '0403.90']",,[]
P2224,Butter and other fats and oils derived from milk,,Butter and other fats and oils derived from milk,,,,,[],,,[]
P22241,Butter and other fats and oils derived from milk of cattle,,Butter and other fats and oils derived from milk of cattle,,,,,[],"['0405.10', '0405.20', '0405.90']",,[]
P22241AA,Butter,,Butter,,,,,"['mantequilla', '22241a']",,,[]
P22242,Butter and other fats and oils derived from milk of buffalo,,Butter and other fats and oils derived from milk of buffalo,,,,,[],"['0405.10', '0405.20', '0405.90']",,[]
P22249,Butter and other fats and oils derived from other milk,,Butter and other fats and oils derived from other milk,,,,,[],"['0405.10', '0405.20', '0405.90']",,[]
P22249AA,Butter and other fats and oils derived from milk,,Butter and other fats and oils derived from milk,,,,,,,,[]
P2225,"Cheese, fresh or processed",,"Cheese, fresh or processed",,,,,[],,,[]
P22251,"Cheese from milk of cattle, fresh or processed",,"Cheese from milk of cattle, fresh or processed",,,,,[],"['0406.10', '0406.20', '0406.30', '0406.40', '0406.90']",,[]
P22252,"Cheese from milk of buffalo, fresh or processed",,"Cheese from milk of buffalo, fresh or processed",,,,,[],"['0406.10', '0406.20', '0406.30', '0406.40', '0406.90']",,[]
P22253,"Cheese from milk of sheep, fresh or processed",,"Cheese from milk of sheep, fresh or processed",,,,,[],"['0406.10', '0406.20', '0406.30', '0406.40', '0406.90']",,[]
P22254,"Cheese from milk of goats, fresh or processed",,"Cheese from milk of goats, fresh or processed",,,,,[],"['0406.10', '0406.20', '0406.30', '0406.40', '0406.90']",,[]
P22259,"Cheese, fresh or processed, n.e.c.",,"Cheese, fresh or processed, n.e.c.","Queso, fresco o transformado, n.c.o.p.","Fromage, frais ou transformé, n.c.a.","Queijo, fresco ou transformado, n.e.c.",,[],"['0406.20', '0406.30', '0406.90', '0406.40', '0406.10']",,[]
P22259AA,"Cheese, fresh or processed, n.e.c.",Cheese (White),Cheese (White),,,,,"['queso blanco duro', '22259a', 'queso costeño']",,,[]
P2226,Casein,,Casein,,,,,[],,,[]
P22260,Casein,,Casein,,,,,[],['3501.10'],,[]
P2227,Ice cream and other edible ice,,Ice cream and other edible ice,,,,,[],,,[]
P22270,Ice cream and other edible ice,,Ice cream and other edible ice,,,,,[],['2105.00'],,[]
P2229,Dairy products n.e.c.,,Dairy products n.e.c.,,,,,[],,,[]
P22290,Dairy products n.e.c.,,Dairy products n.e.c.,,,,,[],['0404.90'],,[]
P223,"Eggs, in shell, preserved or cooked",,"Eggs, in shell, preserved or cooked",,,,,[],,,[]
P2230,"Eggs, in shell, preserved or cooked",,"Eggs, in shell, preserved or cooked",,,,,[],,,[]
P22300,"Eggs, in shell, preserved or cooked",,"Eggs, in shell, preserved or cooked",,,,,[],['0407.90'],,[]
P23,"Grain mill products, starches and starch products; other food products",,"Grain mill products, starches and starch products; other foo...",,,,,[],,,[]
P231,Grain mill products,,Grain mill products,,,,,[],,,[]
P2311,Wheat and meslin flour,,Wheat and meslin flour,,,,,[],,,[]
P23110,Wheat and meslin flour,Wheat Flour,Wheat Flour,Harina de trigo,Farine de blé,Farinha de trigo,,,['1101.00'],,[]
P23110AA,"Wheat and meslin flour, other",Wheat Flour,Wheat Flour,,,,,"['farine blé', 'farine de blé turque', '23110', 'turque', 'farine de blé', 'wheat flour blé', 'wheat (flour)', 'wheat meal 12.5 kg', 'imported wheat (flour)', 'local grinded wheat', 'wheat flour 1kg', 'harina de trigo']",,,[]
P23110AB,"Wheat and meslin flour, first grade",Wheat Flour (First Grade),Wheat Flour (First Grade),,,,,"['23110a', 'wheat (flour, first grade)', 'wheat (flour, first grade, offer, exw)', 'wheat (flour, first grade,imported)']",[],,[]
P23110AC,"Wheat and meslin flour, high quality",Wheat Flour (High Quality),Wheat Flour (High Quality),,,,,"['23110b', 'wheat flour - high price (kg)', 'wheat (flour, high grade,imported)', 'wheat flour (high price)', 'wheat (flour, high grade)', 'wheat (flour, highest grade, offer, exw)']",[],,[]
P23110AD,"Wheat and meslin flour, local quality",Wheat Flour (Local Quality),Wheat Flour (Local Quality),,,,,['23110c'],,,[]
P23110AE,"Wheat and meslin flour, low quality",Wheat Flour (Low Quality),Wheat Flour (Low Quality),,,,,"['23110d', 'wheat flour - low price (kg)', 'wheat flour (low price)']",,,[]
P23110AF,"Wheat and meslin flour, white",Wheat Flour (White),Wheat Flour (White),,,,,[],,,[]
P2312,Other cereal flours,,Other cereal flours,,,,,[],,,[]
P23120,Other cereal flours,,Other cereal flours,Otras harinas de cereales,Autres farines de céréales,Outras farinhas de cereais,,[],"['1102.90', '1102.20']",,[]
P23120AA,"Other cereal flours, sorghum",Sorghum Flour,Sorghum Flour,,,,,"['local grinded sorghum', '23120a', 'sorghum meal', 'farine de sorgho']",,,[]
P23120AB,"Other cereal flours, millet",Millet Flour,Millet Flour,,,,,"['farine de mil', 'local grinded millet', '23120b']",,,[]
P23120AC,"Other cereal flours, maize",Maize Flour,Maize Flour,,,,,"['farine de maïs', 'harina de maiz precocida', 'local grinded maize', 'maize flour - sifted', '23120c', 'fuba de milho', 'maize (flour)']",,,[]
P23120AD,"Other cereal flours, corn/soya blend",Enriched Corn/Soya Blend,Enriched Corn/Soya Blend,,,,,"['preparado nutricional a base de maíz y soya', 'base de maíz y soya']",,,[]
P23120AE,"Other cereal flours, barley flour",Barley Flour,Barley Flour,,,,,['local grinded barley'],,,[]
P23120AF,"Other cereal flours, corn/bean",Enriched corn/bean flour,Enriched corn/bean flour,,,,,['samp'],,,[]
P23120XA,"Other cereal flours, unspecified",Other Cereal Flours (Unspecified),Other Cereal Flours (Unspecified),,,,,"['autres farines de céréales (non specifiées)', 'autres farines de céréales (non autrement specifiés)']",,,[]
P2313,"Groats, meal and pellets of wheat and other cereals",,"Groats, meal and pellets of wheat and other cereals",,,,,[],,,[]
P23130,"Groats, meal and pellets of wheat and other cereals",,"Groats, meal and pellets of wheat and other cereals","Grañones, harina y pellets de trigo y otros cereales","Gruaux, semoules et agglomérés sous forme de pellets de blé ","Grumos, sêmolas e pellets de trigo e outros cereais",,[],"['1103.19', '1103.20', '1103.11', '1103.13']",,[]
P23130AA,"Groats, meal and pellets of wheat and other cereals, maize meal",Maize Meal,Maize Meal,,,,,"['harina precocida de maíz', 'mais moulu local', '23130a']",[],,[]
P23130AB,"Groats, meal and pellets of wheat and other cereals, roller maize meal",Roller Maize Meal,Roller Maize Meal,,,,,"['roller mealie meal', '23130b', 'maize meal /kg', 'maize meal - kg', 'maize flour (special)']",,,[]
P23130AC,"Groats, meal and pellets of wheat and other cereals, breakfast maize meal",Breakfast Maize Meal,Breakfast Maize Meal,,,,,"['maize meal (refined)', 'breakfast mealie meal', '23130c', 'maize flour (super)']",,,[]
P23130AD,"Groats, meal and pellets of wheat and other cereals, maize meal, Gradoro",Maize Meal (Gradoro),Maize Meal (Gradoro),,,,,"['maize meal (gradoro)', '23130d', 'mais moulu importé gradoro']",,,[]
P23130AE,"Groats, meal and pellets of wheat and other cereals, maize meal, Alberto",Maize Meal (Alberto),Maize Meal (Alberto),,,,,"['mais moulu importé alberto', '23130e', 'maize meal (alberto)']",,,[]
P23130AF,"Groats, meal and pellets of wheat and other cereals, maize meal, yellow",Maize Meal (Yellow),Maize Meal (Yellow),,,,,['farine de maïs jaune'],,,[]
P23130AG,"Groats, meal and pellets of wheat and other cereals, maize meal, white",Maize Meal (White),Maize Meal (White),,,,,['farine de maïs blanc'],,,[]
P2314,Other cereal grain products (including corn flakes),,Other cereal grain products (including corn flakes),,,,,[],,,[]
P23140,Other cereal grain products (including corn flakes),,Other cereal grain products (including corn flakes),,,,,[],"['1104.12', '1104.19', '1104.22', '1104.23', '1104.29', '1104.30', '1904.10', '1904.20', '1904.30', '1904.90']",,[]
P2316,"Rice, semi- or wholly milled, or husked",,"Rice, semi- or wholly milled, or husked",,,,,[],,,[]
P23161,"Rice, semi- or wholly milled","Rice, milled","Rice, milled",Arroz molido,Riz blanchi,"Arroz, triturado",,[],"['1006.40', '1006.30']",,[]
P23161AA,"Rice, semi- or wholly milled",Rice (Milled),Rice (Milled),,,,,"['riz shella', 'riz local', 'riz blanchi', 'belem rice', 'riz bélem', 'milled rice', 'riz belém indien', '0113', '23161t', 'rice (imported)', 'riz', '23161', 'rice (non-basmati)', 'iresi tiwa', 'rice', 'stock tampon', 'rice (local)', 'rice polished']",,,[]
P23161AB,"Rice, semi- or wholly milled, 100% broken",Rice (100% Broken),Rice (100% Broken),,,,,"['rice (thai 100% b)', '23161a']",,,[]
P23161AC,"Rice, semi- or wholly milled, 30% broken",Rice (30% Broken),Rice (30% Broken),,,,,"['23161b', 'arroz pilado de primera', 'de tercera arroz 70/30']",,,[]
P23161AD,"Rice, semi- or wholly milled, 25% broken",Rice (25% Broken),Rice (25% Broken),,,,,['23161c'],,,[]
P23161AE,"Rice, semi- or wholly milled, 20% broken",Rice (20% Broken),Rice (20% Broken),,,,,"['23161d', 'arroz semi clasificado 80-20', 'de segunda arroz 80/20', 'arroz pulido 80/20', 'arroz semi clasificado (80/20)']",,,[]
P23161AF,"Rice, semi- or wholly milled, 10% broken",Rice (10% Broken),Rice (10% Broken),,,,,"['arroz oro 90-10', 'arroz de primera', 'arroz oro, de primera', '23161e', 'de primera arroz 90/10', 'arroz 90-10']",,,[]
P23161AG,"Rice, semi- or wholly milled, 5% broken",Rice (5% Broken),Rice (5% Broken),,,,,"['iresi okere', 'riz (5% brisures)', '23161f']",,,[]
P23161AH,"Rice, semi- or wholly milled, 4% broken",Rice (4% Broken),Rice (4% Broken),,,,,"['arroz clasificado 96-4', '23161g', 'arroz clasificado (96/04)', 'arroz clasificado (96/4)', 'riz bull']",,,[]
P23161AI,"Rice, semi- or wholly milled, 0% broken",Rice (0% Broken),Rice (0% Broken),,,,,['23161h'],,,[]
P23161AJ,"Rice, semi- or wholly milled, medium grain","Rice (Medium Grain, Emata)","Rice (Medium Grain, Emata)",,,,,['23161i'],,,[]
P23161AK,"Rice, semi- or wholly milled, long grain, a1 super","Rice (Long Grain, A1 Super)","Rice (Long Grain, A1 Super)",,,,,"['rice (super)', 'rice (thai a1 super)', '23161j']",,,[]
P23161AL,"Rice, semi- or wholly milled, long grain, basmati","Rice (Long Grain, Basmati)","Rice (Long Grain, Basmati)",,,,,"['rice (basmati)', '23161k']",,,[]
P23161AM,"Rice, semi- or wholly milled, long grain, IRRI-6","Rice (Long Grain, IRRI-6)","Rice (Long Grain, IRRI-6)",,,,,['23161l'],,,[]
P23161AN,"Rice, semi- or wholly milled, long grain",Rice (Long Grain),Rice (Long Grain),,,,,['23161m'],,,[]
P23161AO,"Rice, semi- or wholly milled, red",Rice (Red),Rice (Red),,,,,"['red rice', '23161n']",,,[]
P23161AP,"Rice, semi- or wholly milled, black",Rice (Black),Rice (Black),,,,,"['placeholder', '23161o']",,,[]
P23161AQ,"Rice, semi- or wholly milled, low grade",Rice (Low Grade),Rice (Low Grade),,,,,"['rice- grade 2', '23161p', 'rice low quality', 'rice low qaulity (kg)']",,,[]
P23161AR,"Rice, semi- or wholly milled, gambiaca",Rice (Gambiaca),Rice (Gambiaca),,,,,['23161q'],,,[]
P23161AS,"Rice, semi- or wholly milled, gasy",Rice (Gasy),Rice (Gasy),,,,,"['gasy', '23161r']",,,[]
P23161AT,"Rice, semi- or wholly milled, parboiled",Rice (Parboiled),Rice (Parboiled),,,,,"['parboiled rice', '23161s', 'rice parboiled']",,,[]
P23161AV,"Rice, semi- or wholly milled, 40% broken",Rice (40% Broken),Rice (40% Broken),,,,,"['rice (40% broken)', '23161u']",,,[]
P23161AW,"Rice, semi- or wholly milled, (No. 2, 4% broken)","Rice (No. 2, 4% Broken)","Rice (No. 2, 4% Broken)",,,,,"['rice (no. 2, 4% broken)', '23161v']",,,[]
P23161AX,"Rice, semi- or wholly milled, high grade",Rice (High Grade),Rice (High Grade),,,,,"['23161w', 'rice high grade']",,,[]
P23161AY,"Rice, semi- or wholly milled, long grain, perfumed","Rice (Long Grain, Perfumed)","Rice (Long Grain, Perfumed)",,,,,['23161x'],,,[]
P23161AZ,"Rice, semi- or wholly milled, long grain, non-perfumed",Milled rice (non-perfumed),Milled rice (non-perfumed),,,,,['23161y'],,,[]
P23161BA,"Rice, semi- or wholly milled, short grain",Rice (Short Grain),Rice (Short Grain),,,,,['23161z'],,,[]
P23161BB,"Rice, medium grain",Rice (Medium Grain),Rice (Medium Grain),,,,,,,,[]
P23161BC,"Rice, naturally dehydrated",Rice (Naturally dehydrated),Rice (Naturally dehydrated),,,,,['naturally dehydrated'],,,[]
P23162,Husked rice,,Husked rice,,,,,[],['1006.20'],,[]
