"CPC21code","CPC21partial","CPC2code","CPC2partial"
"01610",0,"01610",0
"01620",0,"01620",0
"01630",0,"01630",0
"01640",0,"01640",0
"01651",0,"01651",0
"01652",0,"01652",0
"01653",0,"01653",0
"01654",0,"01654",0
"01655",0,"01655",0
"01656",0,"01656",0
"01657",0,"01657",0
"01658",0,"01658",0
"01659",0,"01659",0
"01691",0,"01690",1
"01699",0,"01690",1
"01701",0,"01701",0
"01702",0,"01702",0
"01703",0,"01703",0
"01704",0,"01704",0
"01705",0,"01705",0
"01706",0,"01709",1
"01707",0,"01709",1
"01708",0,"01709",1
"01709",0,"01709",1
"01801",0,"01801",0
"01802",0,"01802",0
"01803",0,"01803",0
"01809",0,"01809",0
"01911",0,"01911",0
"01912",0,"01912",0
"01913",0,"01913",0
"01919",0,"01919",0
"01921",0,"01921",0
"01922",0,"01922",0
"01929",0,"01929",0
"01930",0,"01930",0
"01940",0,"01940",0
"01950",0,"01950",0
"01961",0,"01961",0
"01962",0,"01962",0
"01963",0,"01963",0
"01970",0,"01970",0
"01990",1,"01360",1
"01990",1,"01990",0
"02111",0,"02111",1
"02112",0,"02112",1
"02119",1,"02111",1
"02119",1,"02112",1
"02121",0,"02121",0
"02122",0,"02122",0
"02123",0,"02123",0
"02129",0,"02129",0
"02131",0,"02130",1
"02132",0,"02130",1
"02133",0,"02130",1
"02140",0,"02140",0
"02151",0,"02151",0
"02152",0,"02152",0
"02153",0,"02153",0
"02154",0,"02154",0
"02155",0,"02155",0
"02191",0,"02191",0
"02192",0,"02192",0
"02193",0,"02193",0
"02194",0,"02194",0
"02195",0,"02195",0
"02196",0,"02196",0
"02199",0,"02199",0
"02211",0,"02211",0
"02212",0,"02212",0
"02291",0,"02291",0
"02292",0,"02292",0
"02293",0,"02293",0
"02299",0,"02299",0
"02311",0,"02330",1
"02312",0,"02310",0
"02321",0,"02330",1
"02322",0,"02320",0
"02411",0,"02411",0
"02419",0,"02419",0
"02420",0,"02420",0
"02910",0,"02910",0
"02920",0,"02920",0
"02930",0,"02930",0
"02941",0,"02941",0
"02942",0,"02942",0
"02943",0,"02943",0
"02944",0,"02944",0
"02951",0,"02951",0
"02952",0,"02952",0
"02953",0,"02953",0
"02954",0,"02954",0
"02955",0,"02955",0
"02959",0,"02959",0
"02960",0,"02960",0
"03110",0,"03110",0
"03120",0,"03120",0
"03131",0,"03130",1
"03132",0,"03130",1
"03211",0,"03211",0
"03219",0,"03219",0
"03220",0,"03220",0
"03230",0,"03230",0
"03241",0,"03241",0
"03249",0,"03249",0
"03250",0,"03250",0
"04111",0,"04111",1
"04112",0,"04111",1
"04191",0,"04119",1
"04192",0,"04119",1
"04211",1,"04119",1
"04211",1,"04120",1
"04212",1,"04119",1
"04212",1,"04120",1
"04221",1,"04119",1
"04221",1,"04120",1
"04222",1,"04119",1
"04222",1,"04120",1
"04231",1,"04119",1
"04231",1,"04120",1
"04232",1,"04119",1
"04232",1,"04120",1
"04241",1,"04119",1
"04241",1,"04120",1
"04242",1,"04119",1
"04242",1,"04120",1
"04251",1,"04119",1
"04251",1,"04120",1
"04252",1,"04119",1
"04252",1,"04120",1
"04261",1,"04119",1
"04261",1,"04120",1
"04262",1,"04119",1
"04262",1,"04120",1
"04291",1,"04119",1
"04291",1,"04120",1
"04292",1,"04119",1
"04292",1,"04120",1
"04311",0,"04210",1
"04312",0,"04210",1
"04321",0,"04210",1
"04322",0,"04210",1
"04331",0,"04210",1
"04332",0,"04210",1
"04341",0,"04210",1
"04342",0,"04210",1
"04351",0,"04210",1
"04352",0,"04210",1
"04361",0,"04210",1
"04362",0,"04210",1
"04391",0,"04210",1
"04392",0,"04210",1
"04411",0,"04291",1
"04412",0,"04291",1
"04421",0,"04220",1
"04422",0,"04220",1
"04431",0,"04291",1
"04432",0,"04291",1
"04441",0,"04291",1
"04442",0,"04291",1
"04451",0,"04291",1
"04452",0,"04291",1
"04461",0,"04291",1
"04462",0,"04291",1
"04471",0,"04291",1
"04472",0,"04291",1
"04491",0,"04291",1
"04492",0,"04291",1
"04511",0,"04299",1
