"CPC21code","CPC21partial","HS12code","HS12partial"
"04191",1,"0301.99",1
"04192",1,"0301.91",1
"04192",1,"0301.92",1
"04192",1,"0301.93",1
"04192",1,"0301.94",1
"04192",1,"0301.95",1
"04192",1,"0301.99",1
"04211",1,"0301.92",1
"04211",1,"0301.93",1
"04211",1,"0301.99",1
"04211",1,"0302.71",1
"04211",1,"0302.72",1
"04211",1,"0302.73",1
"04211",1,"0302.74",1
"04211",1,"0302.79",1
"04211",1,"0302.89",1
"04212",1,"0301.92",1
"04212",1,"0301.93",1
"04212",1,"0301.99",1
"04212",1,"0302.71",1
"04212",1,"0302.72",1
"04212",1,"0302.73",1
"04212",1,"0302.74",1
"04212",1,"0302.79",1
"04212",1,"0302.89",1
"04221",1,"0301.91",1
"04221",1,"0301.99",1
"04221",1,"0302.11",1
"04221",1,"0302.13",1
"04221",1,"0302.14",1
"04221",1,"0302.19",1
"04222",1,"0301.91",1
"04222",1,"0301.99",1
"04222",1,"0302.11",1
"04222",1,"0302.13",1
"04222",1,"0302.14",1
"04222",1,"0302.19",1
"04231",1,"0301.99",1
"04231",1,"0302.21",1
"04231",1,"0302.22",1
"04231",1,"0302.23",1
"04231",1,"0302.24",1
"04231",1,"0302.29",1
"04232",1,"0301.99",1
"04232",1,"0302.21",1
"04232",1,"0302.22",1
"04232",1,"0302.23",1
"04232",1,"0302.24",1
"04232",1,"0302.29",1
"04241",1,"0301.99",1
"04241",1,"0302.51",1
"04241",1,"0302.52",1
"04241",1,"0302.53",1
"04241",1,"0302.54",1
"04241",1,"0302.55",1
"04241",1,"0302.56",1
"04241",1,"0302.59",1
"04242",1,"0301.99",1
"04242",1,"0302.51",1
"04242",1,"0302.52",1
"04242",1,"0302.53",1
"04242",1,"0302.54",1
"04242",1,"0302.55",1
"04242",1,"0302.56",1
"04242",1,"0302.59",1
"04251",1,"0301.94",1
"04251",1,"0301.95",1
"04251",1,"0301.99",1
"04251",1,"0302.31",1
"04251",1,"0302.32",1
"04251",1,"0302.33",1
"04251",1,"0302.34",1
"04251",1,"0302.35",1
"04251",1,"0302.36",1
"04251",1,"0302.39",1
"04252",1,"0301.94",1
"04252",1,"0301.95",1
"04252",1,"0301.99",1
"04252",1,"0302.31",1
"04252",1,"0302.32",1
"04252",1,"0302.33",1
"04252",1,"0302.34",1
"04252",1,"0302.35",1
"04252",1,"0302.36",1
"04252",1,"0302.39",1
"04261",1,"0301.99",1
"04261",1,"0302.41",1
"04261",1,"0302.42",1
"04261",1,"0302.43",1
"04261",1,"0302.44",1
"04261",1,"0302.45",1
"04261",1,"0302.46",1
"04261",1,"0302.47",1
"04261",1,"0302.89",1
"04262",1,"0301.99",1
"04262",1,"0302.41",1
"04262",1,"0302.42",1
"04262",1,"0302.43",1
"04262",1,"0302.44",1
"04262",1,"0302.45",1
"04262",1,"0302.46",1
"04262",1,"0302.47",1
"04262",1,"0302.89",1
"04291",1,"0301.99",1
"04291",1,"0302.81",1
"04291",1,"0302.82",1
"04291",1,"0302.83",1
"04291",1,"0302.84",1
"04291",1,"0302.85",1
"04291",1,"0302.89",1
"04292",1,"0301.99",1
"04292",1,"0302.81",1
"04292",1,"0302.82",1
"04292",1,"0302.83",1
"04292",1,"0302.84",1
"04292",1,"0302.85",1
"04292",1,"0302.89",1
"04311",0,"0306.24",1
"04312",0,"0306.24",1
"04321",0,"0306.21",1
"04322",0,"0306.21",1
"04331",0,"0306.22",1
"04332",0,"0306.22",1
"04341",0,"0306.25",1
"04342",0,"0306.25",1
"04351",0,"0306.26",1
"04352",0,"0306.26",1
"04361",0,"0306.27",1
"04362",0,"0306.27",1
"04391",0,"0306.29",1
"04392",0,"0306.29",1
"04411",0,"0307.81",1
"04412",0,"0307.81",1
"04421",0,"0307.11",1
"04422",0,"0307.11",1
"04431",0,"0307.31",1
"04432",0,"0307.31",1
"04441",0,"0307.21",1
"04442",0,"0307.21",1
"04451",0,"0307.71",1
"04452",0,"0307.71",1
"04461",0,"0307.41",1
"04462",0,"0307.41",1
"04471",0,"0307.51",1
"04472",0,"0307.51",1
"04491",0,"0307.91",1
"04492",0,"0307.91",1
"04511",0,"0308.11",1
"04512",0,"0308.11",1
"04521",0,"0308.21",1
"04522",0,"0308.21",1
"04530",0,"0308.30",1
"04590",0,"0308.90",1
"04911",0,"0508.00",0
"04912",0,"0602.90",1
"04913",0,"0602.90",1
"04920",0,"0511.99",1
"04931",0,"1212.21",1
"04932",0,"1212.21",1
"04933",1,"1212.29",1
"04933",1,"1302.31",1
"04934",1,"1212.29",1
"04934",1,"1302.31",1
"11010",1,"2701.11",0
"11010",1,"2701.12",0
"11010",1,"2701.19",0
"11020",0,"2701.20",0
"11030",0,"2702.10",0
"11040",0,"2702.20",0
"11050",0,"2703.00",0
"12010",0,"2709.00",0
"12020",1,"2711.11",0
"12020",1,"2711.21",0
"12030",0,"2714.10",0
"13000",1,"2612.10",0
"13000",1,"2612.20",0
"14100",1,"2601.11",0
"14100",1,"2601.12",0
"14210",0,"2603.00",0
"14220",0,"2604.00",0
"14230",0,"2606.00",0
"14240",1,"2616.10",0
"14240",1,"2616.90",0
"14290",1,"2602.00",0
"14290",1,"2605.00",0
"14290",1,"2607.00",0
"14290",1,"2608.00",0
"14290",1,"2609.00",0
"14290",1,"2610.00",0
"14290",1,"2611.00",0
"14290",1,"2613.10",0
"14290",1,"2613.90",0
"14290",1,"2614.00",0
"14290",1,"2615.10",0
"14290",1,"2615.90",0
"14290",1,"2617.10",0
"14290",1,"2617.90",0
"15110",0,"2514.00",0
"15120",1,"2515.11",0
"15120",1,"2515.12",0
"15120",1,"2515.20",0
"15130",1,"2506.20",0
"15130",1,"2516.11",0
"15130",1,"2516.12",0
"15130",1,"2516.20",0
"15130",1,"2516.90",0
"15200",1,"2520.10",0
"15200",1,"2521.00",0
"15310",1,"2505.10",0
"15310",1,"2505.90",0
"15320",1,"2517.10",0
"15320",1,"2517.20",0
"15320",1,"2517.41",0
"15320",1,"2517.49",0
"15330",0,"2714.90",0
"15400",1,"2507.00",0
"15400",1,"2508.10",0
"15400",1,"2508.30",0
"15400",1,"2508.40",0
